Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Mon Jun  1 22:07:33 2020,Supervised_BILSTM,64,2,NaN,NaN,0.756707489490509,0.9199499687304565,0.89792663476874,0.8195050946142649,0.9929453262786596,Labelled data
Mon Jun  1 22:12:03 2020,Supervised_BILSTM,64,2,NaN,NaN,0.7374316453933716,0.9243277048155097,0.8814887365328109,0.9911894273127754,0.7936507936507936,Labelled data
Mon Jun  1 23:07:21 2020,Supervised_BILSTM,64,1,NaN,NaN,0.6410523653030396,0.6454033771106942,,,0.0,Labelled data
Mon Jun  1 23:21:04 2020,Supervised_BILSTM,64,1,NaN,NaN,0.6379265189170837,0.6454033771106942,,,0.0,Labelled data
Mon Jun  1 23:51:21 2020,Supervised_BILSTM,64,2,NaN,NaN,0.7931752800941467,0.941213258286429,0.9214046822742474,0.875993640699523,0.9717813051146384,Labelled data
Tue Jun  2 00:29:10 2020,Student,64,1,0.98,0.5,0.6428422331809998,0.6454033771106942,,,0.0,LabelledDataset- Consist_cost btw noise target
Tue Jun  2 00:29:15 2020,Teacher,64,1,0.98,0.5,0.6428422331809998,0.6454033771106942,,,0.0,Labelled Dataset- Consist_cost btw noise target
Tue Jun  2 01:19:58 2020,Supervised_BILSTM,64,2,NaN,NaN,0.7598332762718201,0.9255784865540964,0.9002514668901928,0.8578274760383386,0.9470899470899471,Labelled data
Tue Jun  2 02:08:33 2020,Student,64,2,0.98,0.5,0.7401542067527771,0.8492808005003127,0.7307262569832401,0.9969512195121951,0.5767195767195767,LabelledDataset- Consist_cost btw noise target
Tue Jun  2 02:08:43 2020,Teacher,64,2,0.98,0.5,0.7401542067527771,0.6454033771106942,,,0.0,Labelled Dataset- Consist_cost btw noise target
Tue Jun  2 02:14:55 2020,Supervised_BILSTM,64,2,NaN,NaN,0.7108622193336487,0.8880550343964978,0.8250244379276638,0.9254385964912281,0.7442680776014109,Labelled data
