Date,Model,Batch_Size,Epoch,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Fri Aug 28 17:02:56 2020,Supervised_LP,32,14,1.0,0.5723684210526315,0.624561403508772,0.5263157894736842,0.5377643504531722,0.6137184115523465,0.5779220779220781,0.5666666666666667,1.2559870481491089,Supervised-BDATA 0.90 confident 5WordDrop and 5 word drop to pseudo
Fri Aug 28 17:15:18 2020,LP M2,32,14,NA,0.5707236842105263,0.6666666666666666,0.5201005025125628,0.4229607250755287,0.7472924187725631,0.5175600739371534,0.6133333333333333,1.6586490869522095,tri learning-BDATA 0.90 confident 5WordDrop
Fri Aug 28 17:15:48 2020,Supervised_LP,32,14,0.9900000095367432,0.5411184210526315,0.6756756756756757,0.49782608695652175,0.3021148036253776,0.8267148014440433,0.4175365344467641,0.6214382632293081,1.336620569229126,Supervised-BDATA 0.90 confident 5WordDrop and 5 word drop to pseudo
Fri Aug 28 17:27:12 2020,LP M2,32,14,NA,0.5855263157894737,0.6639004149377593,0.5340599455040872,0.48338368580060426,0.7075812274368231,0.5594405594405595,0.6086956521739131,1.5869126319885254,tri learning-BDATA 0.90 confident 5WordDrop
Fri Aug 28 17:27:12 2020,Supervised Mean,32,14,,0.5567434210526315,0.6501185395922238,0.512070938215103,0.41993957703927487,0.720216606498195,0.49772930618442107,0.5940524649479874,1.2963038086891174,Mean for supervised
Fri Aug 28 17:27:12 2020,LP Mean,32,14,,0.578125,0.665283540802213,0.527080224008325,0.45317220543806647,0.727436823104693,0.5385003166888565,0.6110144927536232,1.6227808594703674,Mean for LP
Fri Aug 28 17:27:12 2020,Supervised STD,32,14,,0.02209708691207961,0.03614324846463239,0.020145261843873007,0.1666293925454704,0.1506111916606726,0.11340970539568435,0.03872936734585754,0.05701650954662851,STD for supervised
Fri Aug 28 17:27:12 2020,LP STD,32,14,,0.010467041168879799,0.0019560353559793776,0.009870816800893932,0.04272548526806937,0.028080052682498285,0.029613975298843326,0.0032793357968071164,0.05072533376310438,STD for LP
Fri Aug 28 23:09:21 2020,Supervised_LP,32,14,0.9300000071525574,0.5756578947368421,0.5746421267893661,0.5798319327731093,0.8489425981873112,0.2490974729241877,0.6853658536585366,0.34848484848484845,1.1142276525497437,Supervised-BDATA 0.90 confident 5WordDrop and 5 word drop to pseudo
Fri Aug 28 23:13:40 2020,Supervised_LP,32,14,0.9950000047683716,0.5970394736842105,0.6604477611940298,0.5470588235294118,0.5347432024169184,0.6714801444043321,0.5909849749582639,0.6029173419773096,0.9054271578788757,Supervised-BDATA 0.90 confident 5WordDrop and 5 word drop to pseudo
Fri Aug 28 23:34:53 2020,LP M1,32,14,NA,0.5148026315789473,0.75,0.4832089552238806,0.16314199395770393,0.9350180505415162,0.2679900744416874,0.6371463714637147,3.5931034088134766,tri learning-BDATA 0.90 confident 5WordDrop
Fri Aug 28 23:34:53 2020,Supervised Mean,32,14,,0.5970394736842105,0.6604477611940298,0.5470588235294118,0.5347432024169184,0.6714801444043321,0.5909849749582639,0.6029173419773096,0.9054271578788757,Mean for supervised
Fri Aug 28 23:34:53 2020,LP Mean,32,14,,0.5148026315789473,0.75,0.4832089552238806,0.16314199395770393,0.9350180505415162,0.2679900744416874,0.6371463714637147,3.5931034088134766,Mean for LP
Fri Aug 28 23:34:53 2020,Supervised STD,32,14,,,,,,,,,,STD for supervised
Fri Aug 28 23:34:53 2020,LP STD,32,14,,,,,,,,,,STD for LP
