Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sun Jun  7 04:48:23 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,0.9983314871788025,0.6295060080106809,0.614850798056905,0.6410998552821997,0.5906666666666667,Labelled data- Equal label
Sun Jun  7 05:31:12 2020,Student,0.0005,64,10,0.99,0.5,0.9995551705360413,0.5814419225634179,0.5393093313739896,0.6006546644844517,0.48933333333333334,LabelledDataset- equal Label
Sun Jun  7 05:31:19 2020,Teacher,0.0005,64,10,0.99,0.5,0.9995551705360413,0.5987983978638184,0.5195843325339728,0.6487025948103793,0.43333333333333335,Labelled Dataset- equal label
Sun Jun  7 05:38:32 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,0.9799777269363403,0.6261682242990654,0.6256684491978609,0.6273458445040214,0.624,Labelled data- Equal label
Sun Jun  7 06:21:06 2020,Student,0.0005,64,10,0.99,0.5,0.995551586151123,0.6061415220293725,0.5482388973966309,0.6438848920863309,0.47733333333333333,LabelledDataset- equal Label
Sun Jun  7 06:21:13 2020,Teacher,0.0005,64,10,0.99,0.5,0.995551586151123,0.595460614152203,0.49331103678929766,0.6614349775784754,0.3933333333333333,Labelled Dataset- equal label
Sun Jun  7 06:28:35 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.602803738317757,0.6158812136862493,0.5969962453066333,0.636,Labelled data- Equal label
Sun Jun  7 07:11:13 2020,Student,0.0005,64,10,0.99,0.5,0.9977757930755615,0.5907877169559412,0.4963023829087921,0.6466809421841542,0.4026666666666667,LabelledDataset- equal Label
Sun Jun  7 07:11:21 2020,Teacher,0.0005,64,10,0.99,0.5,0.9977757930755615,0.6074766355140186,0.5413416536661466,0.6522556390977443,0.46266666666666667,Labelled Dataset- equal label
Sun Jun  7 07:18:38 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.6275033377837116,0.6219512195121951,0.6322314049586777,0.612,Labelled data- Equal label
Sun Jun  7 08:00:50 2020,Student,0.0005,64,10,0.99,0.5,0.9982206225395203,0.602803738317757,0.5369649805447472,0.6448598130841121,0.46,LabelledDataset- equal Label
Sun Jun  7 08:00:58 2020,Teacher,0.0005,64,10,0.99,0.5,0.9982206225395203,0.6054739652870494,0.5386416861826698,0.6497175141242938,0.46,Labelled Dataset- equal label
Sun Jun  7 08:08:09 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,0.9988876581192017,0.6148197596795728,0.5945186226282501,0.6285289747399703,0.564,Labelled data- Equal label
Sun Jun  7 08:50:45 2020,Student,0.0005,64,10,0.99,0.5,0.9995551705360413,0.6081441922563418,0.5136702568351283,0.6783369803063457,0.41333333333333333,LabelledDataset- equal Label
Sun Jun  7 08:50:53 2020,Teacher,0.0005,64,10,0.99,0.5,0.9995551705360413,0.6041388518024032,0.5517762660619804,0.6369982547993019,0.4866666666666667,Labelled Dataset- equal label
